Name,Type,Label,Resampling
AxisSizeClassMidPointValues,vector,Equivalent Spherical Volume,none
AxisSizeClassBoundaryValues,vector,Equivalent Spherical Volume,none
AxisTimeSteps,vector,Time Steps,standard
LivingCount,vector,Individual Frequency,standard
DeadCount,vector,Individual Frequency,standard
HeterotrophFrequency,vector,Individual Frequency,standard
HeterotrophVolume,vector,Volume,standard
HeterotrophApproxVolume,vector,Volume,standard
ToHeterotrophFlux,vector,Volume,cumulative
InHeterotrophFlux,vector,Volume,cumulative
AutotrophVolume,vector,Volume,standard
ToAutotrophFlux,vector,Volume,cumulative
NutrientVolume,vector,Volume,standard
ToNutrientFlux,vector,Volume,cumulative
TimingFeeding,vector,Seconds,cumulative
TimingMetabolising,vector,Seconds,cumulative
TimingReproducing,vector,Seconds,cumulative
TimingStarving,vector,Seconds,cumulative
TimeSampling,vector,Seconds,cumulative
SizeClassLiving,matrix,log_{10}( Individual Frequency ),standard
SizeClassDead,matrix,log_{10}( Individual Frequency ),standard
SizeClassHerbivoreFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassCarnivoreFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassPreyFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassStarvedFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassParentFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassChildFrequencies,matrix,log_{10}( Individual Frequency ),cumulative
SizeClassVolumes,matrix,log_{10}( Volume ),standard
SizeClassApproxVolumes,matrix,log_{10}( Volume ),standard
SizeClassEffectivePreyVolumes,matrix,log_{10}( Volume ),standard
SizeClassPreyVolumeRatios,matrix,log_{10}( Prey Volume Ratio ),standard
SizeClassVolumeMutantFrequencies,matrix,Individual Frequency,cumulative
SizeClassGrowthRatios,matrix,Growth Ratio,standard
SizeClassCouplings,matrix,Coupled Population Index,standard
SizeClassFeedingProbabilities,matrix,Feeding Probability,standard
SizeClassTrophicClassifications,matrix,Trophic Classification,standard
SizeClassAges,matrix,Average Age,standard
TrophicFrequencies,matrix,log_{10}( Individual Frequency ),standard
TrophicVolumes,matrix,Volume,standard
TrophicAges,matrix,Average Age,standard
